unit_nr,time_cycles,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
81,69,642.54,1579.33,1400.83,554.67,2388.02,9065.65,47.1,522.12,2388.05,8148.74,8.4388,393,39.03,23.3331
81,70,642.51,1593.14,1404.0,553.5,2388.0,9063.5,47.33,522.27,2388.07,8149.53,8.4072,393,38.92,23.4252
81,71,642.38,1591.04,1395.67,553.69,2388.04,9073.7,47.21,521.76,2388.04,8153.49,8.4375,392,38.73,23.3315
81,72,642.25,1589.19,1402.45,554.27,2388.01,9062.2,47.41,521.74,2388.03,8149.56,8.4091,395,38.91,23.4583
81,73,642.51,1592.95,1407.15,553.8,2388.02,9070.54,47.24,521.63,2388.04,8150.64,8.4231,392,38.76,23.3777
81,74,642.62,1587.47,1397.32,553.65,2388.02,9066.24,47.4,521.86,2388.04,8150.38,8.3734,391,38.93,23.3778
81,75,642.3,1585.82,1396.89,554.17,2387.99,9071.36,47.29,522.26,2388.03,8151.58,8.4008,393,38.82,23.4023
81,76,642.49,1595.13,1408.08,554.01,2388.02,9069.79,47.33,521.78,2388.07,8147.29,8.4124,391,39.02,23.3721
81,77,642.05,1592.52,1400.9,553.86,2388.04,9067.27,47.41,521.88,2388.06,8153.29,8.4109,392,38.73,23.3337
81,78,641.95,1585.22,1408.81,553.04,2388.1,9065.29,47.31,521.57,2388.03,8149.89,8.3748,392,38.98,23.4142
81,79,642.46,1589.9,1399.16,553.86,2388.03,9065.69,47.35,521.89,2388.06,8147.81,8.4273,391,39.06,23.3946
81,80,641.83,1585.74,1403.27,554.28,2388.05,9071.23,47.44,521.91,2387.99,8150.82,8.433,393,38.99,23.2811
81,81,642.61,1588.7,1402.88,554.1,2388.06,9065.01,47.38,521.79,2388.03,8146.21,8.4288,393,38.95,23.3209
81,82,642.53,1587.94,1397.56,553.68,2388.03,9074.54,47.47,521.88,2388.04,8155.62,8.4011,394,38.92,23.4213
81,83,642.18,1586.38,1400.48,554.34,2388.02,9073.99,47.2,521.55,2388.03,8150.18,8.4078,392,39.05,23.4031
81,84,642.29,1588.68,1398.65,553.68,2388.09,9074.56,47.36,522.17,2388.04,8150.54,8.4089,392,38.85,23.3473
81,85,642.34,1592.88,1406.73,553.89,2388.04,9066.6,47.35,522.11,2388.0,8144.75,8.3998,393,38.73,23.4132
81,86,642.99,1590.25,1401.06,554.28,2388.06,9069.96,47.37,522.15,2388.08,8155.38,8.4279,393,38.96,23.3346
81,87,642.05,1591.68,1399.62,553.54,2388.06,9064.87,47.18,522.32,2388.03,8146.75,8.4065,393,39.15,23.4195
81,88,642.4,1580.25,1399.89,553.75,2388.09,9071.44,47.31,521.9,2388.04,8151.17,8.4022,392,39.01,23.3993
81,89,642.5,1588.59,1400.46,554.02,2388.11,9063.01,47.42,521.94,2388.09,8151.21,8.4616,392,38.85,23.473
81,90,642.46,1587.76,1411.21,553.57,2388.07,9067.25,47.43,521.9,2388.01,8150.49,8.4043,391,39.05,23.3882
81,91,642.59,1583.64,1399.84,553.68,2388.05,9064.99,47.23,522.43,2388.02,8152.08,8.4003,393,38.94,23.2662
81,92,642.3,1591.51,1396.41,554.49,2388.1,9064.05,47.25,521.85,2388.07,8148.44,8.4287,391,39.0,23.4377
81,93,642.14,1583.73,1401.36,554.17,2388.01,9065.88,47.27,521.68,2388.05,8150.05,8.4434,392,39.02,23.4082
81,94,641.99,1588.11,1402.62,554.04,2388.06,9068.43,47.39,521.87,2388.06,8150.57,8.4005,391,38.8,23.3719
81,95,642.31,1586.49,1415.72,554.19,2388.09,9073.19,47.47,521.96,2388.09,8147.4,8.3997,393,38.96,23.2735
81,96,642.43,1585.16,1400.06,554.29,2388.07,9075.72,47.36,521.82,2387.99,8154.62,8.4647,393,39.04,23.418
81,97,642.22,1584.55,1403.95,554.19,2388.09,9068.45,47.46,521.48,2388.04,8148.69,8.406,393,38.72,23.3016
81,98,642.72,1586.94,1407.9,554.36,2388.02,9071.74,47.44,522.24,2388.05,8149.62,8.4194,393,38.94,23.342
81,99,642.59,1587.83,1400.84,553.73,2388.03,9065.13,47.26,522.07,2388.03,8153.31,8.3873,393,38.78,23.2581
81,100,641.95,1583.46,1406.12,553.58,2388.06,9065.1,47.4,522.05,2388.06,8147.78,8.4284,392,38.94,23.3155
81,101,642.86,1579.97,1404.2,553.82,2388.04,9067.03,47.41,521.89,2388.05,8154.13,8.4169,393,38.92,23.306
81,102,642.77,1590.24,1393.13,554.25,2388.07,9078.19,47.5,521.75,2388.03,8146.57,8.3989,392,38.79,23.308
81,103,642.62,1583.61,1397.96,553.37,2388.01,9064.92,47.35,521.79,2388.0,8149.93,8.4371,392,38.83,23.352
81,104,642.54,1586.0,1401.94,553.89,2388.09,9070.7,47.54,521.69,2388.06,8150.55,8.4304,393,38.56,23.243
81,105,642.58,1587.05,1403.46,553.21,2388.08,9067.61,47.46,521.8,2388.06,8149.28,8.3953,392,38.85,23.2955
81,106,642.28,1588.82,1400.22,553.68,2388.02,9071.87,47.4,522.1,2388.01,8147.1,8.4637,393,39.01,23.2793
81,107,642.33,1582.05,1392.44,554.08,2388.07,9071.65,47.38,521.42,2388.05,8148.58,8.4314,393,38.8,23.3079
81,108,642.33,1595.01,1404.33,554.47,2388.06,9062.58,47.44,521.69,2388.07,8142.96,8.4118,393,38.69,23.3707
81,109,642.56,1585.64,1400.12,553.21,2388.03,9067.9,47.45,521.37,2388.05,8149.79,8.4231,393,38.97,23.3296
81,110,642.76,1584.21,1411.2,553.31,2388.07,9060.29,47.49,521.73,2388.0,8147.68,8.4289,394,38.76,23.2509
81,111,642.75,1586.12,1411.95,553.62,2388.07,9063.73,47.36,521.97,2388.1,8151.51,8.4187,394,38.8,23.3277
81,112,642.39,1591.87,1405.42,553.47,2388.01,9070.59,47.32,521.49,2388.05,8149.92,8.4075,392,38.8,23.3926
81,113,642.36,1587.44,1405.13,553.34,2388.11,9068.38,47.42,522.0,2388.06,8150.94,8.4452,391,38.92,23.3553
81,114,643.02,1582.59,1401.23,553.63,2388.05,9068.95,47.5,522.03,2388.07,8147.75,8.4404,392,38.96,23.3095
81,115,642.12,1588.53,1401.85,553.1,2388.06,9078.77,47.42,521.8,2388.11,8149.09,8.3969,393,38.85,23.4541
81,116,642.48,1592.26,1405.23,553.59,2388.05,9076.42,47.22,521.4,2388.07,8151.09,8.4337,393,38.93,23.4098
81,117,642.79,1586.63,1402.23,553.98,2388.02,9068.69,47.34,521.43,2388.08,8154.4,8.4186,394,38.76,23.3937
81,118,642.25,1590.44,1411.11,553.65,2388.06,9074.15,47.39,521.85,2387.96,8148.86,8.4182,393,38.75,23.3082
81,119,641.99,1590.23,1402.46,553.75,2388.09,9064.44,47.64,521.39,2388.14,8148.35,8.4447,394,38.83,23.3371
81,120,643.09,1585.75,1402.27,554.69,2388.07,9070.43,47.5,521.78,2388.03,8148.43,8.4556,392,38.76,23.3352
81,121,642.98,1581.27,1397.93,552.85,2388.01,9072.45,47.46,521.25,2388.04,8144.91,8.432,393,39.01,23.3455
81,122,642.79,1587.02,1412.95,553.88,2388.06,9062.38,47.25,522.13,2388.0,8151.15,8.449,395,38.87,23.2282
81,123,642.91,1585.6,1409.91,553.75,2388.09,9070.96,47.47,520.95,2388.03,8147.66,8.4598,393,38.87,23.1326
81,124,643.22,1588.51,1400.77,553.62,2388.02,9069.89,47.67,521.9,2388.08,8146.93,8.4238,394,38.78,23.3888
81,125,642.79,1586.68,1406.2,553.41,2388.06,9067.32,47.37,521.72,2388.07,8154.46,8.4618,393,38.79,23.3391
81,126,642.49,1586.05,1411.5,554.16,2388.05,9062.11,47.67,521.6,2388.07,8145.26,8.4552,393,38.78,23.3139
81,127,642.34,1594.38,1397.3,553.54,2388.05,9072.9,47.41,521.63,2388.03,8148.57,8.4503,392,38.7,23.3106
81,128,642.32,1592.87,1410.2,553.43,2388.08,9073.6,47.46,521.69,2388.1,8145.77,8.4008,393,39.08,23.3234
81,129,642.46,1582.42,1399.51,554.02,2388.0,9068.52,47.57,521.34,2388.11,8148.74,8.4187,394,38.86,23.3182
81,130,642.39,1579.04,1408.92,553.59,2388.01,9069.3,47.47,521.95,2388.1,8152.19,8.4182,394,38.81,23.2704
81,131,642.75,1589.82,1403.76,553.2,2388.08,9074.21,47.48,522.23,2388.09,8152.01,8.4474,394,38.9,23.3014
81,132,642.78,1590.19,1404.54,553.09,2388.09,9068.92,47.36,521.93,2388.09,8145.89,8.4475,394,38.7,23.3611
81,133,643.02,1583.42,1409.0,553.01,2388.1,9063.52,47.58,521.47,2388.08,8144.5,8.4309,392,38.7,23.2336
81,134,642.62,1591.83,1403.54,553.57,2388.08,9064.21,47.63,521.63,2388.07,8145.12,8.4514,393,39.01,23.2551
81,135,642.8,1585.36,1404.94,552.56,2388.03,9073.16,47.65,521.21,2388.08,8143.71,8.4168,391,38.96,23.3378
81,136,642.71,1590.8,1409.61,553.34,2388.11,9068.23,47.32,521.34,2388.06,8149.85,8.4241,394,38.94,23.375
81,137,642.36,1587.44,1406.43,553.89,2388.13,9070.23,47.55,521.4,2388.07,8155.14,8.4483,393,38.94,23.3519
81,138,642.66,1587.53,1398.81,552.94,2388.12,9075.65,47.37,521.85,2388.11,8145.52,8.4285,393,38.86,23.2285
81,139,642.61,1584.07,1414.3,553.93,2388.12,9067.24,47.53,521.83,2388.1,8144.97,8.4557,393,38.76,23.2667
81,140,641.86,1589.4,1406.58,552.71,2388.11,9072.67,47.67,521.48,2388.07,8150.45,8.4485,393,38.85,23.3519
81,141,642.32,1585.26,1416.6,553.57,2388.07,9078.62,47.58,521.59,2388.08,8149.03,8.4456,394,38.92,23.318
81,142,642.16,1587.94,1400.83,553.56,2388.08,9074.79,47.62,521.64,2388.05,8149.42,8.4305,394,38.88,23.2751
81,143,642.62,1591.89,1400.25,554.12,2388.06,9069.17,47.51,522.12,2388.05,8150.15,8.4521,394,38.84,23.2417
81,144,642.82,1589.72,1410.74,554.19,2388.14,9064.51,47.39,521.38,2388.1,8152.64,8.4505,395,38.9,23.2791
81,145,641.97,1588.17,1405.75,553.66,2388.15,9072.9,47.51,521.22,2388.09,8147.99,8.3879,394,38.79,23.0624
81,146,642.55,1596.23,1411.45,553.59,2388.1,9071.06,47.45,521.86,2388.11,8144.96,8.4308,392,38.92,23.2966
81,147,642.72,1591.6,1418.97,553.21,2388.04,9062.38,47.57,521.65,2388.16,8147.61,8.4724,393,38.95,23.3017
81,148,642.82,1589.48,1412.04,552.64,2388.05,9077.78,47.48,521.31,2388.12,8150.31,8.4493,392,38.78,23.328
81,149,642.92,1591.39,1411.33,553.22,2388.12,9073.12,47.58,521.08,2388.09,8153.66,8.436,394,38.99,23.2311
81,150,642.37,1597.32,1408.47,552.6,2388.1,9070.9,47.41,521.42,2388.07,8145.04,8.445,394,38.71,23.3201
81,151,642.91,1598.69,1407.37,552.79,2388.09,9079.93,47.46,521.57,2388.08,8147.36,8.4544,393,38.94,23.3071
81,152,642.1,1587.06,1408.07,553.19,2388.1,9072.47,47.43,520.86,2388.11,8147.79,8.4523,393,38.74,23.3415
81,153,643.14,1590.11,1409.46,553.01,2388.1,9072.61,47.66,521.19,2388.1,8152.13,8.452,393,38.74,23.1479
81,154,642.87,1586.87,1409.91,552.29,2388.09,9063.25,47.55,521.24,2388.09,8143.74,8.4785,393,38.81,23.2614
81,155,642.52,1598.75,1412.12,553.52,2388.08,9067.32,47.52,521.47,2388.13,8144.59,8.4705,393,38.9,23.2698
81,156,642.54,1596.93,1407.11,552.96,2388.07,9071.66,47.6,521.13,2388.13,8144.04,8.4534,396,38.55,23.2967
81,157,642.67,1582.48,1414.33,553.01,2388.1,9069.36,47.79,521.41,2388.09,8156.84,8.4431,392,38.8,23.2715
81,158,642.83,1588.07,1406.19,552.72,2388.1,9072.97,47.42,521.3,2388.07,8148.04,8.4555,393,38.73,23.3178
81,159,642.7,1589.92,1415.42,552.52,2388.06,9072.39,47.64,521.36,2388.08,8144.58,8.4196,394,38.63,23.2191
81,160,643.05,1584.31,1416.5,553.46,2388.03,9077.21,47.56,521.5,2388.14,8149.83,8.4271,392,38.84,23.353
81,161,642.82,1589.85,1410.17,552.58,2388.09,9073.99,47.53,521.22,2388.05,8150.53,8.4524,394,38.79,23.3015
81,162,642.64,1595.54,1410.53,552.77,2388.05,9069.97,47.53,521.46,2388.13,8143.9,8.4432,394,38.85,23.2428
81,163,642.65,1595.61,1414.73,553.01,2388.09,9074.04,47.51,520.84,2388.07,8153.0,8.4406,393,38.52,23.2033
81,164,643.59,1589.69,1415.53,553.67,2388.11,9069.85,47.61,521.43,2388.12,8149.52,8.4576,394,38.83,23.2402
81,165,642.5,1591.56,1405.69,553.24,2388.14,9075.49,47.8,520.95,2388.09,8148.35,8.4323,394,38.67,23.2746
81,166,642.78,1590.54,1414.46,552.93,2388.08,9075.65,47.64,521.14,2388.09,8147.76,8.4563,394,38.87,23.2126
81,167,642.7,1597.71,1414.54,553.07,2388.16,9062.86,47.64,521.3,2388.09,8153.65,8.4632,395,38.68,23.3785
81,168,643.11,1597.91,1416.79,552.45,2388.13,9072.84,47.57,521.27,2388.08,8152.19,8.442,393,38.62,23.2178
81,169,643.04,1596.93,1412.65,552.77,2388.1,9068.51,47.75,520.58,2388.12,8147.37,8.479,394,38.76,23.268
81,170,643.12,1600.22,1414.63,553.33,2388.1,9074.17,47.8,521.1,2388.19,8146.27,8.511,395,38.48,23.2392
81,171,642.96,1595.98,1413.74,553.09,2388.17,9075.41,47.61,520.82,2388.12,8150.7,8.4633,395,38.65,23.2029
81,172,643.09,1597.33,1421.6,552.91,2388.09,9071.21,47.74,521.22,2388.1,8146.08,8.4346,395,38.68,23.3152
81,173,642.87,1589.62,1415.47,552.78,2388.13,9068.82,47.79,520.71,2388.12,8148.62,8.4768,394,38.63,23.2418
81,174,643.04,1594.01,1407.66,553.22,2388.13,9079.78,47.76,521.06,2388.13,8147.98,8.4819,393,38.71,23.1058
81,175,643.39,1591.13,1421.41,552.78,2388.14,9076.6,47.63,521.13,2388.13,8150.45,8.4936,395,38.8,23.2084
81,176,643.13,1587.87,1412.87,553.0,2388.07,9077.77,47.64,521.27,2388.1,8148.21,8.4956,394,38.74,23.2992
81,177,643.24,1583.26,1415.34,552.08,2388.16,9076.44,47.65,520.97,2388.12,8145.91,8.4272,395,38.64,23.1924
81,178,642.76,1586.99,1412.82,552.31,2388.13,9071.86,47.65,520.91,2388.12,8154.75,8.4507,394,38.66,23.2591
81,179,643.1,1591.99,1416.56,553.63,2388.07,9066.92,47.75,520.75,2388.17,8151.02,8.4781,394,38.8,23.1777
81,180,642.93,1599.13,1412.16,553.03,2388.14,9072.11,47.86,521.32,2388.13,8146.49,8.4691,394,38.62,23.2019
81,181,643.14,1593.54,1421.51,552.12,2388.1,9071.9,47.72,520.73,2388.11,8150.96,8.4509,395,38.61,23.1667
81,182,642.85,1597.04,1412.56,552.42,2388.11,9069.79,47.77,521.08,2388.15,8148.92,8.4665,395,38.71,23.2253
81,183,642.45,1590.38,1418.78,552.16,2388.19,9069.63,47.96,520.65,2388.16,8147.74,8.493,395,38.6,23.1449
81,184,643.38,1595.34,1414.68,552.04,2388.13,9071.88,47.92,520.46,2388.13,8142.68,8.4862,395,38.82,23.1341
81,185,643.1,1597.03,1414.46,551.95,2388.12,9071.3,47.9,520.26,2388.15,8144.27,8.4564,394,38.61,23.1748
81,186,642.92,1602.07,1413.93,552.49,2388.13,9079.19,47.63,520.51,2388.11,8145.5,8.4477,394,38.66,23.2433
81,187,643.06,1590.9,1419.91,552.5,2388.1,9066.9,47.86,521.1,2388.11,8145.53,8.48,393,38.61,23.2081
81,188,643.34,1591.92,1414.62,551.83,2388.16,9069.87,47.8,521.04,2388.18,8150.23,8.4722,394,38.68,23.1261
81,189,642.66,1593.42,1418.91,552.02,2388.15,9078.17,47.65,520.22,2388.22,8149.32,8.5045,393,38.7,23.2497
81,190,643.56,1597.33,1415.58,552.54,2388.15,9078.54,48.0,520.64,2388.14,8147.27,8.4845,395,38.46,23.2339
81,191,643.25,1589.21,1418.35,552.48,2388.2,9081.53,47.84,520.38,2388.14,8145.23,8.4886,394,38.67,23.2757
81,192,643.07,1594.8,1421.78,552.44,2388.14,9076.73,47.87,520.51,2388.16,8148.0,8.4497,395,38.55,23.1512
81,193,643.63,1592.65,1420.73,553.28,2388.14,9077.66,47.93,520.36,2388.18,8150.49,8.4584,396,38.6,23.2046
81,194,643.25,1596.58,1422.33,551.93,2388.14,9073.06,47.9,520.57,2388.14,8152.88,8.4838,394,38.73,23.0921
81,195,643.47,1597.07,1422.75,552.52,2388.2,9071.93,47.9,520.34,2388.21,8150.41,8.4875,394,38.58,23.2618
81,196,643.02,1593.4,1416.4,552.05,2388.18,9070.79,47.91,520.38,2388.18,8149.19,8.4829,395,38.64,23.1379
81,197,643.53,1606.04,1427.57,553.09,2388.21,9076.64,47.77,519.74,2388.17,8151.3,8.4846,395,38.66,23.1704
81,198,644.3,1596.37,1411.14,552.24,2388.26,9074.15,47.83,520.58,2388.14,8148.21,8.4861,394,38.65,23.1208
81,199,642.74,1598.69,1418.54,551.98,2388.16,9077.6,47.99,520.4,2388.15,8155.12,8.4919,395,38.5,23.1704
81,200,643.17,1596.65,1415.11,551.79,2388.17,9077.11,47.97,520.5,2388.16,8149.76,8.4764,395,38.67,23.1247
81,201,643.61,1601.84,1424.14,552.12,2388.19,9074.84,47.86,519.96,2388.16,8151.75,8.49,394,38.68,23.1306
81,202,643.55,1605.03,1418.53,551.85,2388.16,9070.71,48.07,520.21,2388.24,8145.41,8.4745,394,38.51,23.1779
81,203,643.3,1599.33,1421.56,552.22,2388.24,9072.77,47.96,520.27,2388.18,8146.48,8.5015,395,38.59,23.1117
81,204,643.81,1607.16,1419.73,552.19,2388.23,9078.49,47.97,520.61,2388.17,8154.94,8.444,396,38.7,23.2421
81,205,643.38,1597.63,1420.92,551.53,2388.14,9077.69,47.98,520.49,2388.19,8143.02,8.501,395,38.44,23.0506
81,206,643.45,1603.15,1421.71,551.96,2388.23,9080.89,47.8,519.68,2388.21,8154.93,8.5205,394,38.52,23.1008
81,207,643.46,1606.62,1423.28,552.19,2388.14,9073.1,47.95,520.12,2388.21,8146.78,8.4964,395,38.53,23.2108
81,208,643.1,1596.42,1424.86,551.7,2388.19,9080.67,48.1,520.09,2388.18,8151.25,8.5127,395,38.55,23.0621
81,209,643.69,1597.5,1423.64,551.26,2388.2,9078.98,48.04,519.72,2388.16,8151.18,8.4993,396,38.58,23.1896
81,210,643.16,1603.75,1428.95,551.01,2388.27,9082.3,47.9,520.24,2388.13,8154.07,8.5195,395,38.51,23.0979
